	Entity Name	Alternative Name	Tag	Reference
285	Barac 	Borrak	Person	Yule
286	Baradaeus		Person	Yule
287	Barbaro		No	Yule
288	Barbarossa		No	Yule
289	Barberino		No	Yule
290	Bardesir		No	Yule
291	Bardshír		No	Yule
292	Bargu	Barguchin Tugrum	No	Yule
293	Barguzinsk		No	Yule
294	Barin		Location	Yule
295	Bark		No	Yule
296	Barka	Barca	Person	Yule
297	Barka khan		Person	Murray
298	Barkul		No	Yule
299	Barlaam and Josaphat		No	Yule
300	Barley		No	Yule
301	Baroch		Location	Yule
302	Barons		Person	Murray,Yule
303	Barozzi		No	Yule
304	Barros		No	Yule
305	Barsauma	St. Barsamo	No	Yule
306	Barskul	Barscol	Location	Yule
307	Bartizan		No	Yule
308	Barus		No	Yule
309	Bascra 	Bussora	Location	Murray
310	Bashai	Pashai	No	Yule
311	Bashkirds		No	Yule
312	Bashpah		Person	Yule
313	Basma	Basmuls,Guasmuls	Person	Yule
314	Basra 	Bastra	No	Yule
315	Bathang		No	Yule
316	Baths		No	Yule
317	Batigala		No	Yule
318	Batochina		No	Yule
319	Bats		No	Yule
320	Battas of Sumatra		No	Yule
321	Batthala		No	Yule
322	Battles		No	Yule
323	Baudas		Location	Yule
324	Bavaria		Location	Yule
325	Bawárij		No	Yule
326	Bayam		Person	Murray
327	Bayan		Person	Yule
328	Bayan 	Baian	Person	Yule
329	Bayan Chingsian		Person	Yule
330	Bayezid Ilderim		Person	Yule
331	Bdellium		No	Yule
332	Beads		No	Yule
333	Bears		No	Yule
334	Beast and bird patterns		No	Yule
335	Beaten gold		No	Yule
336	Beaujeu		No	Yule
337	Beauty of  Georgians		No	Yule
338	Beds		No	Yule
339	Beef		No	Yule
340	Bejas of the Red Sea Coast		No	Yule
341	Belgutai		No	Yule
342	Bell at Cambaluc		No	Yule
343	Bellal Rajas		No	Yule
344	Belor 	Beloor	Location	Murray
345	Benares		No	Yule
346	Bendocquedar		No	Yule
347	Benedict XII		No	Yule
348	Bengal	Bangala	Location	Yule
349	Beni Búya dynasty		No	Yule
350	Benjamin of Tudela		No	Yule
351	Benzoin		No	Yule
352	Berard		No	Yule
353	Berbera		Location	Yule
354	Berchet		No	Yule
355	Bereké		Person	Yule
356	Bernier		No	Yule
357	Bettelar		No	Yule
358	Bezant		No	Yule
359	Bhamó		Location	Yule
360	Bhartpúr		No	Yule
361	Bhattis		No	Yule
362	Bháwalpúr		No	Yule
363	Biancos		No	Yule
364	Biar		No	Yule
365	Bibars Bundúkdári		No	Yule
366	Bielo Osero		No	Yule
367	Bilúchis		No	Yule
368	Binh Thuan	Champa	No	Yule
369	Binkin		No	Yule
370	Bintang	Pentam	No	Yule
371	Birch-bark vessels		No	Yule
372	Bird-hunts		No	Yule
373	Birdwood		No	Yule
374	Birhors of Chuta Nagpúr		No	Yule
375	Birthday		No	Yule
376	BirPandi		No	Yule
377	Bishbalik	Urumtsi	No	Yule
378	Bishop		No	Yule
379	Bitter bread		No	Yule
380	Blac		No	Yule
381	Black Crane	Kará Togorü	No	Yule
382	Blacker		No	Yule
